t,x,y,z,xdot,ydot,zdot,qw,qx,qy,qz,p,q,r
0,5,0,0,0,0,0,1,0,-0,-0,0,0,0
0.01,5,2.2675e-08,8.468e-09,5.4584e-13,9.3734e-06,2.6458e-06,1,0.00014834,-1.6452e-11,-5.0041e-08,-0.061195,9.2128e-09,5.4075e-06
0.02,5,3.8468e-07,7.5026e-08,-2.8449e-12,7.7354e-05,1.188e-05,1,0.000584,7.5079e-11,-5.5485e-08,-0.10834,-6.258e-08,-2.9123e-06
0.03,5,1.9193e-06,2.7159e-07,-1.0384e-10,0.00024923,2.8752e-05,1,0.001183,1.1715e-09,-3.3885e-08,-0.12686,-4.1424e-07,-5.4335e-06
0.04,5,5.781e-06,6.7694e-07,-6.6555e-10,0.00054399,5.368e-05,1,0.0018196,5.2028e-09,-1.0466e-08,-0.1256,-1.2723e-06,-4.1158e-06
0.05,5,1.3209e-05,1.3726e-06,-2.5478e-09,0.00096149,8.684e-05,1,0.0024278,1.5315e-08,3.1739e-09,-0.11735,-2.9059e-06,-1.5421e-06
0.06,5,2.5395e-05,2.4415e-06,-7.3639e-09,0.0014943,0.00012832,1,0.0029953,3.5992e-08,6.8129e-09,-0.11016,-5.5511e-06,-1.562e-07
0.07,5,4.3456e-05,3.9668e-06,-1.7736e-08,0.0021356,0.00017814,0.99999,0.0035356,7.2988e-08,5.0501e-09,-0.10655,-9.4803e-06,6.2743e-07
0.08,5,6.8457e-05,6.0321e-06,-3.7532e-08,0.0028818,0.0002363,0.99999,0.0040654,1.332e-07,1.9825e-09,-0.10572,-1.49e-05,7.9189e-07
0.09,5,0.00010144,8.7205e-06,-7.2076e-08,0.0037319,0.00030276,0.99999,0.0045945,2.2459e-07,-3.8376e-10,-0.10603,-2.2007e-05,6.3228e-07
0.1,5,0.00014344,1.2115e-05,-1.2836e-07,0.0046862,0.00037747,0.99999,0.0051254,3.5613e-07,-1.8247e-09,-0.10634,-3.0998e-05,3.4436e-07
0.11,5,0.00019551,1.6297e-05,-2.1523e-07,0.0057449,0.00046039,0.99998,0.005657,5.3785e-07,-2.968e-09,-0.1062,-4.2044e-05,-2.3132e-07
0.12,5,0.00025869,2.135e-05,-3.4362e-07,0.0069079,0.00055148,0.99998,0.0061869,7.8075e-07,-4.3757e-09,-0.10571,-5.5478e-05,1.5126e-08
0.13,5,0.00033402,2.7354e-05,-5.2672e-07,0.0081749,0.00065069,0.99998,0.0067138,1.0969e-06,-6.6035e-09,-0.10505,-7.1446e-05,4.3318e-07
0.14,5,0.00042253,3.4391e-05,-7.8019e-07,0.0095452,0.00075801,0.99997,0.0072373,1.4993e-06,-9.976e-09,-0.10436,-9.0082e-05,6.0142e-07
0.15,5,0.00052526,4.2541e-05,-1.1224e-06,0.011018,0.00087337,0.99997,0.0077573,2.002e-06,-1.4672e-08,-0.10371,-0.00011158,5.9922e-07
0.16,5,0.00064323,5.1885e-05,-1.5744e-06,0.012593,0.00099675,0.99997,0.0082743,2.6198e-06,-2.0909e-08,-0.10309,-0.00013608,3.0986e-07
0.17,5,0.00077746,6.2502e-05,-2.1605e-06,0.014269,0.0011281,0.99996,0.0087884,3.3687e-06,-2.8829e-08,-0.10255,-0.00016403,8.2555e-07
0.18,5,0.00092895,7.4473e-05,-2.908e-06,0.016046,0.0012674,0.99996,0.0092997,4.2654e-06,-3.8883e-08,-0.10201,-0.00019539,1.1857e-06
0.19,5,0.0010987,8.7877e-05,-3.8479e-06,0.017924,0.0014146,0.99995,0.0098083,5.3276e-06,-5.1519e-08,-0.10142,-0.00023017,9.7042e-07
