t,x,y,z,xdot,ydot,zdot,des_x,des_y,des_z,des_xdot,des_ydot,des_zdot
0,5,0,0,0,0,0,5,0,0,-0,1.2326e-31,2.9606e-16
0.05,5,1.3209e-05,1.3726e-06,-2.5478e-09,0.00096149,8.684e-05,5,2.2584e-05,1.7972e-06,-6.1076e-09,0.0013522,0.0001076
0.1,5,0.00014344,1.2115e-05,-1.2836e-07,0.0046862,0.00037747,5,0.00017954,1.4287e-05,-1.926e-07,0.0053636,0.00042682
0.15,5,0.00052526,4.2541e-05,-1.1224e-06,0.011018,0.00087337,5,0.00060214,4.7917e-05,-1.4412e-06,0.011967,0.0009523
0.2,5,0.0012878,0.00010279,-5.0144e-06,0.019902,0.0015696,5,0.0014183,0.00011287,-5.984e-06,0.021095,0.0016787
0.25,5,0.0025568,0.00020276,-1.572e-05,0.031268,0.0024613,5,0.0027527,0.00021905,-1.7993e-05,0.032683,0.0026008
0.3,5,0.0044548,0.00035209,-3.9581e-05,0.045049,0.0035433,5,0.0047265,0.00037612,-4.4111e-05,0.046664,0.0037134
0.35,5,0.0071009,0.00056018,-8.5854e-05,0.06118,0.0048109,5,0.0074578,0.00059348,-9.3928e-05,0.062973,0.0050112
0.4,5,0.010611,0.00083619,-0.00016714,0.079594,0.006259,5,0.011061,0.00088025,-0.0001804,0.081545,0.0064892
0.45,5,0.015097,0.001189,-0.00029976,0.10023,0.0078827,5,0.015649,0.0012453,-0.00032024,0.10232,0.0081422
0.5,5,0.020669,0.0016273,-0.00050409,0.12301,0.0096773,5,0.021329,0.0016973,-0.00053419,0.12523,0.0099653
0.55,4.9999,0.027433,0.0021595,-0.00080485,0.14788,0.011638,4.9999,0.028206,0.0022446,-0.00084738,0.15021,0.011953
0.6,4.9999,0.035491,0.0027938,-0.0012313,0.17478,0.013759,4.9999,0.036383,0.0028953,-0.0012895,0.1772,0.014102
0.65,4.9998,0.044944,0.0035381,-0.0018176,0.20364,0.016037,4.9998,0.045959,0.0036573,-0.0018949,0.20614,0.016405
0.7,4.9997,0.055887,0.0044,-0.0026025,0.2344,0.018467,4.9997,0.057029,0.0045383,-0.002703,0.23697,0.018859
0.75,4.9995,0.068415,0.0053872,-0.0036302,0.267,0.021043,4.9995,0.069686,0.0055456,-0.0037581,0.26962,0.021458
0.8,4.9993,0.082617,0.0065067,-0.0049497,0.30137,0.023762,4.9993,0.08402,0.0066864,-0.0051097,0.30403,0.024198
0.85,4.999,0.09858,0.0077656,-0.0066153,0.33745,0.026617,4.999,0.10012,0.0079676,-0.0068123,0.34015,0.027073
0.9,4.9987,0.11639,0.0091707,-0.0086863,0.37518,0.029606,4.9986,0.11806,0.0093959,-0.0089256,0.3779,0.030081
0.95,4.9982,0.13612,0.010728,-0.011227,0.41449,0.032723,4.9981,0.13793,0.010978,-0.011514,0.41723,0.033214
1,4.9975,0.15786,0.012445,-0.014308,0.45533,0.035963,4.9974,0.15981,0.012719,-0.014648,0.45807,0.03647
1.05,4.9967,0.18168,0.014327,-0.018002,0.49762,0.039322,4.9966,0.18376,0.014627,-0.018402,0.50035,0.039844
1.1,4.9957,0.20765,0.016379,-0.022389,0.5413,0.042796,4.9956,0.20987,0.016706,-0.022855,0.54403,0.04333
1.15,4.9945,0.23583,0.018608,-0.027554,0.58631,0.04638,4.9943,0.23819,0.018962,-0.028091,0.58902,0.046926
1.2,4.9929,0.2663,0.021019,-0.033584,0.63257,0.05007,4.9928,0.26879,0.0214,-0.034199,0.63525,0.050625
1.25,4.9911,0.29911,0.023617,-0.040572,0.68002,0.053861,4.9909,0.30173,0.024026,-0.041272,0.68267,0.054424
1.3,4.9889,0.33432,0.026407,-0.048614,0.72858,0.057748,4.9886,0.33708,0.026844,-0.049406,0.73119,0.058319
1.35,4.9862,0.37198,0.029393,-0.057811,0.77818,0.061728,4.9859,0.37487,0.029859,-0.058701,0.78074,0.062305
1.4,4.9831,0.41215,0.032581,-0.068267,0.82874,0.065796,4.9827,0.41517,0.033076,-0.06926,0.83125,0.066378
1.45,4.9794,0.45487,0.035974,-0.080088,0.88017,0.069948,4.979,0.45801,0.036498,-0.081191,0.88262,0.070534
1.5,4.975,0.50018,0.039577,-0.093383,0.9324,0.07418,4.9746,0.50344,0.040131,-0.094603,0.93479,0.074768
1.55,4.97,0.54813,0.043393,-0.10826,0.98534,0.078487,4.9695,0.5515,0.043976,-0.10961,0.98765,0.079077
1.6,4.9642,0.59873,0.047427,-0.12484,1.0389,0.082865,4.9636,0.60222,0.04804,-0.12631,1.0411,0.083457
1.65,4.9575,0.65202,0.051681,-0.14324,1.0929,0.08731,4.9568,0.65562,0.052323,-0.14484,1.0951,0.087903
1.7,4.9498,0.70803,0.056159,-0.16356,1.1474,0.091819,4.9491,0.71173,0.056831,-0.1653,1.1495,0.092412
1.75,4.9411,0.76677,0.060864,-0.18593,1.2022,0.096386,4.9403,0.77057,0.061565,-0.18782,1.2041,0.096979
1.8,4.9312,0.82825,0.065799,-0.21045,1.2571,0.10101,4.9303,0.83215,0.06653,-0.21249,1.259,0.1016
1.85,4.92,0.89248,0.070966,-0.23725,1.3121,0.10568,4.919,0.89647,0.071726,-0.23944,1.3138,0.10627
1.9,4.9074,0.95946,0.076367,-0.26644,1.3671,0.1104,4.9063,0.96353,0.077158,-0.26879,1.3687,0.111
1.95,4.8933,1.0292,0.082006,-0.29813,1.4218,0.11516,4.8921,1.0333,0.082827,-0.30063,1.4233,0.11576
2,4.8776,1.1016,0.087885,-0.33241,1.4762,0.11997,4.8762,1.1059,0.088735,-0.33508,1.4775,0.12056
2.05,4.86,1.1768,0.094004,-0.36941,1.5301,0.1248,4.8585,1.1811,0.094884,-0.37224,1.5313,0.1254
2.1,4.8406,1.2546,0.10037,-0.40921,1.5834,0.12967,4.8389,1.259,0.10128,-0.41221,1.5843,0.13028
2.15,4.8191,1.3351,0.10697,-0.45192,1.6358,0.13457,4.8172,1.3395,0.10791,-0.45508,1.6366,0.13518
2.2,4.7953,1.4182,0.11382,-0.49761,1.6872,0.13949,4.7933,1.4226,0.11479,-0.50093,1.6878,0.1401
2.25,4.7693,1.5038,0.12092,-0.54636,1.7374,0.14443,4.7671,1.5083,0.12192,-0.54985,1.7379,0.14505
2.3,4.7407,1.5919,0.12827,-0.59826,1.7863,0.14939,4.7383,1.5964,0.1293,-0.60191,1.7866,0.15002
2.35,4.7094,1.6824,0.13586,-0.65336,1.8336,0.15437,4.7068,1.6869,0.13692,-0.65716,1.8336,0.155
2.4,4.6753,1.7753,0.1437,-0.71171,1.8791,0.15935,4.6725,1.7797,0.1448,-0.71566,1.8789,0.16
2.45,4.6381,1.8703,0.1518,-0.77336,1.9227,0.16434,4.6352,1.8747,0.15293,-0.77746,1.9222,0.165
2.5,4.5979,1.9675,0.16014,-0.83833,1.964,0.16933,4.5947,1.9719,0.1613,-0.84257,1.9633,0.17001
2.55,4.5543,2.0667,0.16873,-0.90665,2.0029,0.17432,4.5509,2.071,0.16993,-0.91102,2.0019,0.17502
2.6,4.5072,2.1677,0.17757,-0.97831,2.039,0.17931,4.5036,2.172,0.1788,-0.9828,2.0378,0.18004
2.65,4.4564,2.2705,0.18666,-1.0533,2.0723,0.18429,4.4526,2.2748,0.18793,-1.0579,2.0707,0.18504
2.7,4.4018,2.3749,0.196,-1.1316,2.1023,0.18926,4.3977,2.3791,0.19731,-1.1363,2.1005,0.19004
2.75,4.3432,2.4807,0.20558,-1.2132,2.129,0.19422,4.3389,2.4848,0.20693,-1.2179,2.1268,0.19503
2.8,4.2804,2.5877,0.21542,-1.2979,2.1519,0.19916,4.2759,2.5917,0.21681,-1.3028,2.1494,0.20001
2.85,4.2133,2.6958,0.2255,-1.3858,2.1709,0.20408,4.2086,2.6996,0.22693,-1.3907,2.168,0.20497
2.9,4.1418,2.8047,0.23583,-1.4767,2.1856,0.20898,4.1368,2.8084,0.23731,-1.4816,2.1824,0.20991
2.95,4.0656,2.9143,0.2464,-1.5704,2.1959,0.21386,4.0604,2.9178,0.24793,-1.5754,2.1923,0.21483
3,3.9847,3.0243,0.25721,-1.667,2.2014,0.2187,3.9792,3.0276,0.25879,-1.6719,2.1974,0.21973
3.05,3.8989,3.1344,0.26827,-1.7661,2.2019,0.22352,3.8931,3.1375,0.2699,-1.771,2.1975,0.2246
3.1,3.808,3.2444,0.27956,-1.8676,2.1971,0.22831,3.802,3.2472,0.28125,-1.8725,2.1924,0.22943
3.15,3.7121,3.354,0.2911,-1.9713,2.1868,0.23305,3.7058,3.3566,0.29284,-1.9761,2.1817,0.23424
3.2,3.6109,3.4629,0.30287,-2.0769,2.1707,0.23776,3.6044,3.4653,0.30467,-2.0816,2.1652,0.23901
3.25,3.5043,3.5709,0.31487,-2.1843,2.1486,0.24243,3.4977,3.573,0.31674,-2.1888,2.1427,0.24375
3.3,3.3924,3.6777,0.32711,-2.2931,2.1202,0.24706,3.3855,3.6795,0.32905,-2.2974,2.1139,0.24844
3.35,3.275,3.7829,0.33958,-2.403,2.0854,0.25164,3.2679,3.7843,0.34158,-2.4071,2.0787,0.25309
3.4,3.1521,3.8861,0.35227,-2.5137,2.0439,0.25617,3.1448,3.8872,0.35435,-2.5176,2.0368,0.2577
3.45,3.0236,3.9871,0.3652,-2.6248,1.9955,0.26066,3.0161,3.9879,0.36735,-2.6285,1.988,0.26226
3.5,2.8896,4.0855,0.37834,-2.736,1.9401,0.26509,2.8819,4.0859,0.38058,-2.7394,1.9322,0.26677
3.55,2.7501,4.181,0.3917,-2.8469,1.8775,0.26947,2.7422,4.181,0.39403,-2.85,1.8692,0.27122
3.6,2.6049,4.2732,0.40529,-2.957,1.8076,0.27379,2.5969,4.2727,0.4077,-2.9598,1.799,0.27562
3.65,2.4544,4.3616,0.41908,-3.0661,1.7302,0.27805,2.4462,4.3607,0.42159,-3.0684,1.7213,0.27997
3.7,2.2984,4.4461,0.43309,-3.1734,1.6454,0.28225,2.2901,4.4447,0.4357,-3.1754,1.6361,0.28426
3.75,2.1371,4.5261,0.44731,-3.2788,1.553,0.28639,2.1287,4.5242,0.45002,-3.2803,1.5434,0.28849
3.8,1.9705,4.6012,0.46173,-3.3815,1.453,0.29047,1.9621,4.5989,0.46454,-3.3826,1.4432,0.29265
3.85,1.799,4.6712,0.47635,-3.4812,1.3454,0.29448,1.7905,4.6684,0.47928,-3.4818,1.3354,0.29675
3.9,1.6225,4.7357,0.49117,-3.5774,1.2303,0.29843,1.614,4.7323,0.49422,-3.5774,1.2201,0.30078
3.95,1.4413,4.7941,0.50619,-3.6695,1.1078,0.3023,1.4328,4.7903,0.50936,-3.669,1.0974,0.30475
4,1.2556,4.8463,0.5214,-3.757,0.97797,0.30611,1.2472,4.8419,0.52469,-3.7559,0.96746,0.30864
4.05,1.0657,4.8918,0.5368,-3.8394,0.84093,0.30985,1.0573,4.8869,0.54022,-3.8377,0.83034,0.31246
4.1,0.87175,4.9303,0.55239,-3.9162,0.69691,0.31351,0.86353,4.9249,0.55594,-3.9139,0.68627,0.31621
4.15,0.67415,4.9614,0.56815,-3.9868,0.54613,0.3171,0.66605,4.9554,0.57184,-3.9839,0.53548,0.31988
4.2,0.47318,4.9848,0.5841,-4.0508,0.38886,0.32061,0.46524,4.9783,0.58792,-4.0473,0.37824,0.32348
4.25,0.26919,5.0002,0.60021,-4.1076,0.22541,0.32405,0.26144,4.9932,0.60419,-4.1035,0.21486,0.32699
4.3,0.062543,5.0072,0.6165,-4.1568,0.056128,0.32741,0.055024,4.9997,0.62062,-4.152,0.045695,0.33043
4.35,-0.14636,5.0057,0.63295,-4.1978,-0.11859,0.33069,-0.15362,4.9976,0.63723,-4.1924,-0.12887,0.33378
4.4,-0.35709,4.9953,0.64957,-4.2302,-0.29832,0.33388,-0.36407,4.9867,0.654,-4.2242,-0.3084,0.33704
4.45,-0.56923,4.9758,0.66634,-4.2536,-0.48258,0.337,-0.57589,4.9667,0.67093,-4.247,-0.49243,0.34023
4.5,-0.7823,4.947,0.68327,-4.2676,-0.67089,0.34004,-0.78861,4.9374,0.68802,-4.2603,-0.68046,0.34332
4.55,-0.99583,4.9086,0.70034,-4.2718,-0.86269,0.34299,-1.0018,4.8986,0.70526,-4.2639,-0.87195,0.34633
4.6,-1.2093,4.8607,0.71756,-4.2658,-1.0574,0.34586,-1.2148,4.8502,0.72265,-4.2573,-1.0663,0.34925
4.65,-1.4222,4.8029,0.73493,-4.2493,-1.2544,0.34864,-1.4273,4.792,0.74018,-4.2402,-1.263,0.35208
4.7,-1.6341,4.7352,0.75242,-4.2221,-1.4531,0.35133,-1.6387,4.7238,0.75786,-4.2124,-1.4613,0.35481
4.75,-1.8443,4.6575,0.77006,-4.1839,-1.6529,0.35394,-1.8484,4.6458,0.77566,-4.1737,-1.6605,0.35745
4.8,-2.0523,4.5699,0.78782,-4.1345,-1.8529,0.35646,-2.0559,4.5578,0.7936,-4.1238,-1.8601,0.36
4.85,-2.2575,4.4723,0.8057,-4.0738,-2.0526,0.35889,-2.2606,4.4598,0.81166,-4.0626,-2.0592,0.36245
4.9,-2.4595,4.3647,0.8237,-4.0017,-2.2511,0.36123,-2.4619,4.3519,0.82984,-3.9901,-2.2572,0.36481
4.95,-2.6575,4.2472,0.84182,-3.9182,-2.4478,0.36348,-2.6594,4.2341,0.84814,-3.9061,-2.4534,0.36707
5,-2.8511,4.1199,0.86005,-3.8233,-2.642,0.36564,-2.8523,4.1066,0.86655,-3.8108,-2.6469,0.36923
5.05,-3.0396,3.983,0.87838,-3.717,-2.8327,0.3677,-3.0403,3.9695,0.88506,-3.7041,-2.837,0.37128
5.1,-3.2226,3.8367,0.89682,-3.5994,-3.0194,0.36967,-3.2226,3.823,0.90368,-3.5862,-3.023,0.37324
5.15,-3.3994,3.6812,0.91535,-3.4708,-3.2012,0.37155,-3.3987,3.6673,0.92238,-3.4573,-3.2041,0.3751
5.2,-3.5695,3.5167,0.93397,-3.3313,-3.3774,0.37333,-3.5681,3.5026,0.94118,-3.3175,-3.3795,0.37686
5.25,-3.7324,3.3435,0.95268,-3.1813,-3.5473,0.37502,-3.7303,3.3294,0.96007,-3.1673,-3.5486,0.37851
5.3,-3.8875,3.1621,0.97147,-3.0211,-3.7101,0.37661,-3.8847,3.1479,0.97903,-3.0069,-3.7107,0.38006
5.35,-4.0343,2.9727,0.99034,-2.851,-3.8652,0.3781,-4.0308,2.9585,0.99807,-2.8367,-3.8649,0.38151
5.4,-4.1724,2.7757,1.0093,-2.6716,-4.0118,0.3795,-4.1682,2.7616,1.0172,-2.6572,-4.0107,0.38285
5.45,-4.3013,2.5716,1.0283,-2.4833,-4.1494,0.3808,-4.2964,2.5576,1.0364,-2.4689,-4.1474,0.38409
5.5,-4.4206,2.3609,1.0474,-2.2867,-4.2774,0.382,-4.4149,2.347,1.0556,-2.2722,-4.2744,0.38522
5.55,-4.5298,2.1441,1.0665,-2.0823,-4.3951,0.38311,-4.5235,2.1303,1.0749,-2.068,-4.3911,0.38624
5.6,-4.6287,1.9216,1.0857,-1.8708,-4.502,0.38411,-4.6216,1.908,1.0942,-1.8566,-4.497,0.38716
5.65,-4.7168,1.694,1.1049,-1.6529,-4.5976,0.38501,-4.709,1.6808,1.1136,-1.6389,-4.5917,0.38797
5.7,-4.7939,1.462,1.1242,-1.4292,-4.6815,0.38582,-4.7854,1.4491,1.133,-1.4155,-4.6746,0.38867
5.75,-4.8597,1.2261,1.1435,-1.2006,-4.7534,0.38652,-4.8505,1.2135,1.1525,-1.1872,-4.7454,0.38927
5.8,-4.9139,0.98689,1.1628,-0.9678,-4.8128,0.38712,-4.9041,0.97474,1.1719,-0.95482,-4.8039,0.38976
5.85,-4.9564,0.74503,1.1822,-0.73158,-4.8595,0.38762,-4.9459,0.73335,1.1914,-0.71906,-4.8496,0.39014
5.9,-4.987,0.50115,1.2016,-0.49277,-4.8933,0.38802,-4.9759,0.49,1.2109,-0.48078,-4.8824,0.39041
5.95,-5.0056,0.25592,1.221,-0.25221,-4.914,0.38832,-4.994,0.24533,1.2305,-0.24082,-4.9021,0.39057
