t,x,y,z,xdot,ydot,zdot,des_x,des_y,des_z,des_xdot,des_ydot,des_zdot
0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,1.1252e-05,1.125e-05,1.473e-05,0.00081643,0.00081642,0.00093054,1.9167e-05,1.9167e-05,1.9167e-05,0.0011428,0.0011428,0.0011428
0.1,0.00012069,0.00012069,0.00012896,0.0039118,0.0039117,0.0039909,0.00015045,0.00015045,0.00015045,0.0044561,0.0044561,0.0044561
0.15,0.00043623,0.00043622,0.00044771,0.0090361,0.0090358,0.009084,0.00049813,0.00049813,0.00049813,0.0097707,0.0097707,0.0097707
0.2,0.0010555,0.0010555,0.0010685,0.016032,0.016031,0.016045,0.0011581,0.0011581,0.0011581,0.016922,0.016922,0.016922
0.25,0.0020679,0.0020678,0.0020806,0.024735,0.024734,0.024711,0.0022182,0.0022182,0.0022182,0.025749,0.025749,0.025749
0.3,0.0035548,0.0035546,0.0035654,0.034985,0.034983,0.034926,0.0037584,0.0037584,0.0037584,0.036097,0.036097,0.036097
0.35,0.0055897,0.0055894,0.0055964,0.046629,0.046626,0.046535,0.0058507,0.0058507,0.0058507,0.047813,0.047813,0.047813
0.4,0.0082384,0.0082379,0.0082397,0.059516,0.059512,0.059391,0.00856,0.00856,0.00856,0.06075,0.06075,0.06075
0.45,0.01156,0.011559,0.011554,0.073501,0.073496,0.073348,0.011944,0.011944,0.011944,0.074766,0.074766,0.074766
0.5,0.015605,0.015603,0.01559,0.088444,0.088438,0.088266,0.016052,0.016052,0.016052,0.089722,0.089722,0.089722
0.55,0.020418,0.020416,0.020394,0.10421,0.1042,0.10401,0.020929,0.020929,0.020929,0.10548,0.10548,0.10548
0.6,0.026037,0.026035,0.026003,0.12066,0.12065,0.12045,0.026612,0.026612,0.026612,0.12192,0.12192,0.12192
0.65,0.032493,0.032491,0.032449,0.13768,0.13767,0.13746,0.033131,0.033131,0.033131,0.13891,0.13891,0.13891
0.7,0.039812,0.03981,0.039756,0.15514,0.15513,0.15491,0.04051,0.04051,0.04051,0.15633,0.15633,0.15633
0.75,0.048013,0.048009,0.047945,0.17292,0.17291,0.17269,0.048769,0.048769,0.048769,0.17406,0.17406,0.17406
0.8,0.057108,0.057104,0.057029,0.19092,0.1909,0.19069,0.05792,0.05792,0.05792,0.192,0.192,0.192
0.85,0.067106,0.067102,0.067016,0.20901,0.209,0.20879,0.067971,0.067971,0.067971,0.21003,0.21003,0.21003
0.9,0.07801,0.078004,0.077908,0.2271,0.22709,0.22689,0.078923,0.078923,0.078923,0.22805,0.22805,0.22805
0.95,0.089815,0.089809,0.089703,0.24509,0.24508,0.24489,0.090774,0.090774,0.090774,0.24596,0.24596,0.24596
1,0.10252,0.10251,0.10239,0.26289,0.26287,0.2627,0.10352,0.10352,0.10352,0.26367,0.26367,0.26367
1.05,0.1161,0.11609,0.11597,0.28039,0.28037,0.28022,0.11714,0.11714,0.11714,0.28109,0.28109,0.28109
1.1,0.13055,0.13054,0.13041,0.29752,0.2975,0.29737,0.13162,0.13162,0.13162,0.29813,0.29813,0.29813
1.15,0.14584,0.14583,0.1457,0.31419,0.31417,0.31406,0.14694,0.14694,0.14694,0.31471,0.31471,0.31471
1.2,0.16196,0.16195,0.16181,0.33033,0.33031,0.33022,0.16308,0.16308,0.16308,0.33075,0.33075,0.33075
1.25,0.17887,0.17885,0.17871,0.34586,0.34584,0.34577,0.18001,0.18001,0.18001,0.34618,0.34618,0.34618
1.3,0.19653,0.19652,0.19637,0.36071,0.3607,0.36065,0.19769,0.19769,0.19769,0.36094,0.36094,0.36094
1.35,0.21492,0.21491,0.21476,0.37483,0.37482,0.37479,0.21609,0.21609,0.21609,0.37496,0.37496,0.37496
1.4,0.234,0.23399,0.23384,0.38814,0.38813,0.38812,0.23517,0.23517,0.23517,0.38817,0.38817,0.38817
1.45,0.25372,0.25371,0.25356,0.4006,0.4006,0.4006,0.25489,0.25489,0.25489,0.40053,0.40053,0.40053
