t,x,y,z,xdot,ydot,zdot,des_x,des_y,des_z,des_xdot,des_ydot,des_zdot
0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,0.00023848,0.00023844,0.00027491,0.013401,0.0134,0.013243,0.014434,0.014434,0.014434,0,0,0
0.1,0.0013476,0.0013474,0.0013628,0.030482,0.03048,0.030144,0.028868,0.028868,0.028868,0,0,0
0.15,0.0032726,0.0032724,0.0032722,0.046361,0.04636,0.046064,0.043301,0.043301,0.043301,0,0,0
0.2,0.0059669,0.0059666,0.0059529,0.061252,0.061251,0.061007,0.057735,0.057735,0.057735,0,0,0
0.25,0.0093827,0.0093823,0.0093575,0.075231,0.07523,0.075028,0.072169,0.072169,0.072169,0,0,0
0.3,0.013476,0.013475,0.013441,0.088352,0.088351,0.088185,0.086603,0.086603,0.086603,0,0,0
0.35,0.018204,0.018204,0.018163,0.10067,0.10067,0.10053,0.10104,0.10104,0.10104,0,0,0
0.4,0.02353,0.023529,0.023482,0.11222,0.11222,0.11212,0.11547,0.11547,0.11547,0,0,0
0.45,0.029415,0.029415,0.029362,0.12307,0.12307,0.12299,0.1299,0.1299,0.1299,0,0,0
0.5,0.035826,0.035825,0.03577,0.13325,0.13325,0.13319,0.14434,0.14434,0.14434,0,0,0
0.55,0.04273,0.042729,0.042671,0.14281,0.14281,0.14276,0.15877,0.15877,0.15877,0,0,0
0.6,0.050097,0.050097,0.050036,0.15178,0.15178,0.15175,0.17321,0.17321,0.17321,0,0,0
0.65,0.057899,0.057898,0.057837,0.1602,0.1602,0.16018,0.18764,0.18764,0.18764,0,0,0
0.7,0.066108,0.066108,0.066045,0.1681,0.1681,0.16809,0.20207,0.20207,0.20207,0,0,0
0.75,0.0747,0.0747,0.074637,0.17551,0.17551,0.17551,0.21651,0.21651,0.21651,0,0,0
0.8,0.083651,0.083651,0.083589,0.18247,0.18247,0.18248,0.23094,0.23094,0.23094,0,0,0
0.85,0.09294,0.09294,0.092878,0.189,0.189,0.18902,0.24537,0.24537,0.24537,0,0,0
0.9,0.10254,0.10254,0.10248,0.19513,0.19513,0.19515,0.25981,0.25981,0.25981,0,0,0
0.95,0.11245,0.11245,0.11239,0.20088,0.20088,0.20091,0.27424,0.27424,0.27424,0,0,0
1,0.12263,0.12263,0.12257,0.20628,0.20628,0.20631,0.28868,0.28868,0.28868,0,0,0
1.05,0.13307,0.13307,0.13301,0.21135,0.21135,0.21138,0.30311,0.30311,0.30311,0,0,0
1.1,0.14376,0.14376,0.1437,0.21611,0.21611,0.21614,0.31754,0.31754,0.31754,0,0,0
1.15,0.15468,0.15467,0.15462,0.22057,0.22057,0.2206,0.33198,0.33198,0.33198,0,0,0
1.2,0.16581,0.16581,0.16576,0.22476,0.22476,0.22479,0.34641,0.34641,0.34641,0,0,0
1.25,0.17715,0.17715,0.1771,0.22869,0.22869,0.22872,0.36084,0.36084,0.36084,0,0,0
1.3,0.18867,0.18867,0.18863,0.23238,0.23238,0.23241,0.37528,0.37528,0.37528,0,0,0
1.35,0.20038,0.20038,0.20033,0.23584,0.23584,0.23588,0.38971,0.38971,0.38971,0,0,0
1.4,0.21225,0.21225,0.21221,0.23909,0.23909,0.23913,0.40415,0.40415,0.40415,0,0,0
1.45,0.22429,0.22429,0.22424,0.24214,0.24214,0.24218,0.41858,0.41858,0.41858,0,0,0
1.5,0.23647,0.23647,0.23642,0.245,0.245,0.24504,0.43301,0.43301,0.43301,0,0,0
1.55,0.24878,0.24878,0.24874,0.24769,0.24769,0.24772,0.44745,0.44745,0.44745,0,0,0
1.6,0.26123,0.26123,0.26119,0.25021,0.25021,0.25024,0.46188,0.46188,0.46188,0,0,0
1.65,0.2738,0.2738,0.27377,0.25258,0.25258,0.25261,0.47631,0.47631,0.47631,0,0,0
1.7,0.28649,0.28649,0.28645,0.2548,0.2548,0.25483,0.49075,0.49075,0.49075,0,0,0
1.75,0.29928,0.29928,0.29925,0.25688,0.25688,0.25691,0.50518,0.50518,0.50518,0,0,0
1.8,0.31217,0.31217,0.31214,0.25884,0.25884,0.25887,0.51962,0.51962,0.51962,0,0,0
1.85,0.32516,0.32516,0.32513,0.26067,0.26067,0.2607,0.53405,0.53405,0.53405,0,0,0
1.9,0.33824,0.33824,0.33821,0.26239,0.2624,0.26242,0.54848,0.54848,0.54848,0,0,0
1.95,0.3514,0.3514,0.35137,0.26401,0.26401,0.26404,0.56292,0.56292,0.56292,0,0,0
2,0.36464,0.36464,0.36461,0.26553,0.26553,0.26555,0.57735,0.57735,0.57735,0,0,0
2.05,0.37795,0.37795,0.37793,0.26695,0.26695,0.26698,0.59178,0.59178,0.59178,0,0,0
2.1,0.39133,0.39133,0.39131,0.26829,0.26829,0.26831,0.60622,0.60622,0.60622,0,0,0
2.15,0.40478,0.40478,0.40476,0.26954,0.26954,0.26957,0.62065,0.62065,0.62065,0,0,0
2.2,0.41828,0.41828,0.41826,0.27072,0.27072,0.27074,0.63509,0.63509,0.63509,0,0,0
2.25,0.43185,0.43185,0.43183,0.27182,0.27182,0.27185,0.64952,0.64952,0.64952,0,0,0
2.3,0.44547,0.44547,0.44545,0.27286,0.27286,0.27288,0.66395,0.66395,0.66395,0,0,0
2.35,0.45913,0.45913,0.45912,0.27383,0.27383,0.27385,0.67839,0.67839,0.67839,0,0,0
2.4,0.47285,0.47285,0.47283,0.27475,0.27475,0.27476,0.69282,0.69282,0.69282,0,0,0
2.45,0.48661,0.48661,0.48659,0.2756,0.2756,0.27562,0.70725,0.70725,0.70725,0,0,0
2.5,0.50041,0.50041,0.50039,0.27641,0.27641,0.27642,0.72169,0.72169,0.72169,0,0,0
2.55,0.51425,0.51425,0.51423,0.27716,0.27716,0.27718,0.73612,0.73612,0.73612,0,0,0
2.6,0.52812,0.52812,0.52811,0.27787,0.27787,0.27789,0.75056,0.75056,0.75056,0,0,0
2.65,0.54203,0.54203,0.54202,0.27854,0.27854,0.27855,0.76499,0.76499,0.76499,0,0,0
2.7,0.55598,0.55598,0.55596,0.27916,0.27916,0.27917,0.77942,0.77942,0.77942,0,0,0
2.75,0.56995,0.56995,0.56994,0.27974,0.27974,0.27976,0.79386,0.79386,0.79386,0,0,0
2.8,0.58395,0.58395,0.58394,0.28029,0.28029,0.28031,0.80829,0.80829,0.80829,0,0,0
2.85,0.59798,0.59798,0.59797,0.28081,0.28081,0.28082,0.82272,0.82272,0.82272,0,0,0
2.9,0.61203,0.61203,0.61202,0.28129,0.28129,0.2813,0.83716,0.83716,0.83716,0,0,0
2.95,0.62611,0.62611,0.6261,0.28175,0.28175,0.28176,0.85159,0.85159,0.85159,0,0,0
3,0.6402,0.6402,0.6402,0.28217,0.28217,0.28218,0.86603,0.86603,0.86603,0,0,0
3.05,0.65432,0.65432,0.65432,0.28257,0.28257,0.28258,0.88046,0.88046,0.88046,0,0,0
3.1,0.66846,0.66846,0.66845,0.28295,0.28295,0.28296,0.89489,0.89489,0.89489,0,0,0
3.15,0.68262,0.68262,0.68261,0.2833,0.2833,0.28331,0.90933,0.90933,0.90933,0,0,0
3.2,0.69679,0.69679,0.69678,0.28363,0.28363,0.28364,0.92376,0.92376,0.92376,0,0,0
3.25,0.71098,0.71098,0.71097,0.28394,0.28394,0.28395,0.93819,0.93819,0.93819,0,0,0
3.3,0.72519,0.72519,0.72518,0.28423,0.28423,0.28424,0.95263,0.95263,0.95263,0,0,0
3.35,0.7394,0.7394,0.7394,0.28451,0.28451,0.28451,0.96706,0.96706,0.96706,0,0,0
3.4,0.75364,0.75364,0.75363,0.28476,0.28476,0.28477,0.9815,0.9815,0.9815,0,0,0
3.45,0.76788,0.76788,0.76787,0.285,0.285,0.28501,0.99593,0.99593,0.99593,0,0,0
3.5,0.78214,0.78197,0.78213,0.28523,0.27023,0.28497,1.0104,0.98964,1.0104,0,0,0
3.55,0.7964,0.79453,0.79638,0.28544,0.23388,0.28518,1.0248,0.9752,1.0248,0,0,0
3.6,0.81068,0.80542,0.81064,0.28564,0.20186,0.28543,1.0392,0.96077,1.0392,0,0,0
3.65,0.82497,0.81475,0.82492,0.28583,0.17168,0.28566,1.0537,0.94634,1.0537,0,0,0
3.7,0.83926,0.82262,0.83921,0.286,0.14336,0.28587,1.0681,0.9319,1.0681,0,0,0
3.75,0.85357,0.82912,0.85351,0.28617,0.11678,0.28606,1.0825,0.91747,1.0825,0,0,0
3.8,0.86788,0.83433,0.86782,0.28632,0.091842,0.28625,1.097,0.90303,1.097,0,0,0
3.85,0.8822,0.83833,0.88213,0.28647,0.068433,0.28641,1.1114,0.8886,1.1114,0,0,0
3.9,0.89653,0.84119,0.89646,0.2866,0.046464,0.28657,1.1258,0.87417,1.1258,0,0,0
3.95,0.91086,0.843,0.91079,0.28673,0.025847,0.28671,1.1403,0.85973,1.1403,0,0,0
4,0.9252,0.8438,0.92513,0.28685,0.0064977,0.28684,1.1547,0.8453,1.1547,0,0,0
4.05,0.93954,0.84367,0.93947,0.28696,-0.011661,0.28697,1.1691,0.83087,1.1691,0,0,0
4.1,0.95389,0.84265,0.95382,0.28707,-0.028703,0.28708,1.1836,0.81643,1.1836,0,0,0
4.15,0.96825,0.84081,0.96818,0.28717,-0.044696,0.28719,1.198,0.802,1.198,0,0,0
4.2,0.98261,0.8382,0.98254,0.28726,-0.059706,0.28729,1.2124,0.78756,1.2124,0,0,0
4.25,0.99698,0.83486,0.99691,0.28735,-0.073792,0.28738,1.2269,0.77313,1.2269,0,0,0
4.3,1.0113,0.83083,1.0113,0.28743,-0.087012,0.28747,1.2413,0.7587,1.2413,0,0,0
4.35,1.0257,0.82617,1.0257,0.2875,-0.099418,0.28754,1.2557,0.74426,1.2557,0,0,0
4.4,1.0401,0.8209,1.04,0.28758,-0.11106,0.28762,1.2702,0.72983,1.2702,0,0,0
4.45,1.0545,0.81508,1.0544,0.28764,-0.12199,0.28769,1.2846,0.7154,1.2846,0,0,0
4.5,1.0689,0.80872,1.0688,0.28771,-0.13224,0.28775,1.299,0.70096,1.299,0,0,0
4.55,1.0832,0.80186,1.0832,0.28777,-0.14187,0.28781,1.3135,0.68653,1.3135,0,0,0
4.6,1.0976,0.79454,1.0976,0.28782,-0.1509,0.28787,1.3279,0.67209,1.3279,0,0,0
4.65,1.112,0.78678,1.112,0.28788,-0.15937,0.28792,1.3423,0.65766,1.3423,0,0,0
4.7,1.1264,0.77861,1.1264,0.28792,-0.16733,0.28797,1.3568,0.64323,1.3568,0,0,0
4.75,1.1408,0.77006,1.1408,0.28797,-0.17479,0.28801,1.3712,0.62879,1.3712,0,0,0
4.8,1.1552,0.76114,1.1552,0.28801,-0.1818,0.28806,1.3856,0.61436,1.3856,0,0,0
4.85,1.1696,0.75188,1.1696,0.28805,-0.18838,0.2881,1.4001,0.59993,1.4001,0,0,0
4.9,1.184,0.74231,1.184,0.28809,-0.19455,0.28813,1.4145,0.58549,1.4145,0,0,0
4.95,1.1984,0.73244,1.1984,0.28813,-0.20034,0.28817,1.4289,0.57106,1.4289,0,0,0
5,1.2128,0.72228,1.2128,0.28816,-0.20577,0.2882,1.4434,0.55662,1.4434,0,0,0
5.05,1.2272,0.71186,1.2272,0.28819,-0.21087,0.28823,1.4578,0.54219,1.4578,0,0,0
5.1,1.2417,0.7012,1.2416,0.28822,-0.21566,0.28826,1.4722,0.52776,1.4722,0,0,0
5.15,1.2561,0.6903,1.256,0.28825,-0.22015,0.28828,1.4867,0.51332,1.4867,0,0,0
5.2,1.2705,0.67919,1.2705,0.28828,-0.22437,0.28831,1.5011,0.49889,1.5011,0,0,0
5.25,1.2849,0.66787,1.2849,0.2883,-0.22832,0.28833,1.5155,0.48446,1.5155,0,0,0
5.3,1.2993,0.65636,1.2993,0.28832,-0.23204,0.28835,1.53,0.47002,1.53,0,0,0
5.35,1.3137,0.64467,1.3137,0.28835,-0.23552,0.28837,1.5444,0.45559,1.5444,0,0,0
5.4,1.3281,0.63281,1.3281,0.28837,-0.23879,0.28839,1.5588,0.44115,1.5588,0,0,0
5.45,1.3426,0.62079,1.3425,0.28839,-0.24186,0.28841,1.5733,0.42672,1.5733,0,0,0
5.5,1.357,0.60863,1.357,0.2884,-0.24474,0.28843,1.5877,0.41229,1.5877,0,0,0
5.55,1.3714,0.59632,1.3714,0.28842,-0.24744,0.28844,1.6021,0.39785,1.6021,0,0,0
5.6,1.3858,0.58389,1.3858,0.28844,-0.24998,0.28846,1.6166,0.38342,1.6166,0,0,0
5.65,1.4003,0.57133,1.4002,0.28845,-0.25236,0.28847,1.631,0.36899,1.631,0,0,0
5.7,1.4147,0.55865,1.4147,0.28846,-0.25459,0.28848,1.6454,0.35455,1.6454,0,0,0
5.75,1.4291,0.54587,1.4291,0.28848,-0.25669,0.2885,1.6599,0.34012,1.6599,0,0,0
5.8,1.4435,0.53299,1.4435,0.28849,-0.25866,0.28851,1.6743,0.32568,1.6743,0,0,0
5.85,1.4579,0.52001,1.4579,0.2885,-0.26051,0.28852,1.6887,0.31125,1.6887,0,0,0
5.9,1.4724,0.50694,1.4724,0.28851,-0.26224,0.28853,1.7032,0.29682,1.7032,0,0,0
5.95,1.4868,0.49379,1.4868,0.28852,-0.26386,0.28854,1.7176,0.28238,1.7176,0,0,0
6,1.5012,0.48055,1.5012,0.28853,-0.26539,0.28854,1.7321,0.26795,1.7321,0,0,0
6.05,1.5157,0.46725,1.5156,0.28854,-0.26682,0.28855,1.7465,0.25352,1.7465,0,0,0
6.1,1.5301,0.45387,1.5301,0.28855,-0.26817,0.28856,1.7609,0.23908,1.7609,0,0,0
6.15,1.5445,0.44043,1.5445,0.28856,-0.26943,0.28857,1.7754,0.22465,1.7754,0,0,0
6.2,1.5589,0.42693,1.5589,0.28856,-0.27061,0.28857,1.7898,0.21021,1.7898,0,0,0
6.25,1.5734,0.41337,1.5734,0.28857,-0.27172,0.28858,1.8042,0.19578,1.8042,0,0,0
6.3,1.5878,0.39976,1.5878,0.28858,-0.27277,0.28859,1.8187,0.18135,1.8187,0,0,0
6.35,1.6022,0.3861,1.6022,0.28858,-0.27375,0.28859,1.8331,0.16691,1.8331,0,0,0
6.4,1.6166,0.37239,1.6166,0.28859,-0.27466,0.2886,1.8475,0.15248,1.8475,0,0,0
6.45,1.6311,0.35863,1.6311,0.28859,-0.27553,0.2886,1.862,0.13805,1.862,0,0,0
6.5,1.6455,0.34483,1.6455,0.2886,-0.27634,0.28861,1.8764,0.12361,1.8764,0,0,0
6.55,1.6599,0.331,1.6599,0.2886,-0.27709,0.28861,1.8908,0.10918,1.8908,0,0,0
6.6,1.6744,0.31713,1.6744,0.28861,-0.27781,0.28861,1.9053,0.094744,1.9053,0,0,0
6.65,1.6888,0.30322,1.6888,0.28861,-0.27848,0.28862,1.9197,0.08031,1.9197,0,0,0
6.7,1.7032,0.28928,1.7032,0.28862,-0.2791,0.28862,1.9341,0.065877,1.9341,0,0,0
6.75,1.7177,0.27531,1.7177,0.28862,-0.27969,0.28863,1.9486,0.051443,1.9486,0,0,0
6.8,1.7321,0.26131,1.7321,0.28862,-0.28024,0.28863,1.963,0.037009,1.963,0,0,0
6.85,1.7465,0.24729,1.7465,0.28863,-0.28076,0.28863,1.9774,0.022575,1.9774,0,0,0
6.9,1.761,0.23323,1.761,0.28863,-0.28125,0.28863,1.9919,0.0081416,1.9919,0,0,0
6.95,1.7754,0.21916,1.7753,0.28863,-0.2817,0.28038,2.0063,-0.0062922,1.9937,0,0,0
7,1.7898,0.20506,1.7885,0.28863,-0.28213,0.24693,2.0207,-0.020726,1.9793,0,0,0
7.05,1.8042,0.19095,1.8,0.28864,-0.28253,0.214,2.0352,-0.03516,1.9648,0,0,0
7.1,1.8187,0.17681,1.8099,0.28864,-0.28291,0.18307,2.0496,-0.049593,1.9504,0,0,0
7.15,1.8331,0.16266,1.8184,0.28864,-0.28327,0.15404,2.064,-0.064027,1.936,0,0,0
7.2,1.8475,0.14849,1.8254,0.28864,-0.2836,0.1268,2.0785,-0.078461,1.9215,0,0,0
7.25,1.862,0.1343,1.8311,0.28865,-0.28391,0.10123,2.0929,-0.092895,1.9071,0,0,0
7.3,1.8764,0.1201,1.8355,0.28865,-0.28421,0.07724,2.1073,-0.10733,1.8927,0,0,0
7.35,1.8908,0.10588,1.8388,0.28865,-0.28448,0.054724,2.1218,-0.12176,1.8782,0,0,0
7.4,1.9053,0.091647,1.841,0.28865,-0.28474,0.033594,2.1362,-0.1362,1.8638,0,0,0
7.45,1.9197,0.077404,1.8422,0.28865,-0.28498,0.013763,2.1506,-0.15063,1.8494,0,0,0
7.5,1.9341,0.063149,1.8424,0.28865,-0.28521,-0.004847,2.1651,-0.16506,1.8349,0,0,0
7.55,1.9486,0.048883,1.8417,0.28866,-0.28542,-0.022312,2.1795,-0.1795,1.8205,0,0,0
7.6,1.963,0.034607,1.8402,0.28866,-0.28562,-0.038702,2.1939,-0.19393,1.8061,0,0,0
7.65,1.9774,0.020321,1.8379,0.28866,-0.28581,-0.054084,2.2084,-0.20836,1.7916,0,0,0
7.7,1.9919,0.0060262,1.8348,0.28866,-0.28599,-0.068519,2.2228,-0.2228,1.7772,0,0,0
7.75,2.0063,-0.0082773,1.831,0.28866,-0.28615,-0.082066,2.2372,-0.23723,1.7628,0,0,0
7.8,2.0207,-0.022589,1.8266,0.28866,-0.28631,-0.09478,2.2517,-0.25167,1.7483,0,0,0
7.85,2.0352,-0.036908,1.8216,0.28866,-0.28645,-0.10671,2.2661,-0.2661,1.7339,0,0,0
7.9,2.0496,-0.051234,1.816,0.28866,-0.28659,-0.11791,2.2805,-0.28053,1.7195,0,0,0
7.95,2.064,-0.065567,1.8098,0.28866,-0.28672,-0.12842,2.295,-0.29497,1.705,0,0,0
8,2.0785,-0.079906,1.8031,0.28866,-0.28684,-0.13828,2.3094,-0.3094,1.6906,0,0,0
8.05,2.0929,-0.094251,1.796,0.28866,-0.28695,-0.14753,2.3238,-0.32383,1.6762,0,0,0
8.1,2.1073,-0.1086,1.7884,0.28867,-0.28706,-0.15622,2.3383,-0.33827,1.6617,0,0,0
8.15,2.1218,-0.12296,1.7804,0.28867,-0.28716,-0.16437,2.3527,-0.3527,1.6473,0,0,0
8.2,2.1362,-0.13732,1.772,0.28867,-0.28725,-0.17202,2.3671,-0.36714,1.6329,0,0,0
