t,x,y,z,xdot,ydot,zdot,des_x,des_y,des_z,des_xdot,des_ydot,des_zdot
0,5,0,0,0,0,0,5,0,0,0,0,0
0.05,4.9999,0.00038207,2.0886e-05,-0.007072,0.021776,0.0010312,4.9923,0.023739,0.0013927,0,0,0
0.1,4.9993,0.0021964,0.00011521,-0.016237,0.049969,0.0027315,4.9846,0.047479,0.0027854,0,0,0
0.15,4.9983,0.0053547,0.00029134,-0.024729,0.07611,0.0042983,4.9769,0.071218,0.0041781,0,0,0
0.2,4.9968,0.0097796,0.00054345,-0.032696,0.10063,0.0057698,4.9691,0.094958,0.0055708,0,0,0
0.25,4.995,0.015393,0.00086677,-0.040175,0.12365,0.0071479,4.9614,0.1187,0.0069635,0,0,0
0.3,4.9928,0.022121,0.0012568,-0.047193,0.14525,0.0084389,4.9537,0.14244,0.0083561,0,0,0
0.35,4.9903,0.029895,0.0017093,-0.05378,0.16552,0.0096484,4.946,0.16618,0.0097488,0,0,0
0.4,4.9874,0.038652,0.0022204,-0.059961,0.18454,0.010782,4.9383,0.18992,0.011142,0,0,0
0.45,4.9843,0.04833,0.0027863,-0.065762,0.2024,0.011844,4.9306,0.21366,0.012534,0,0,0
0.5,4.9809,0.058873,0.0034036,-0.071207,0.21916,0.012839,4.9229,0.23739,0.013927,0,0,0
0.55,4.9772,0.070228,0.0040692,-0.076317,0.23488,0.013772,4.9152,0.26113,0.01532,0,0,0
0.6,4.9732,0.082345,0.0047799,-0.081112,0.24964,0.014646,4.9074,0.28487,0.016712,0,0,0
0.65,4.9691,0.095177,0.0055329,-0.085612,0.26349,0.015466,4.8997,0.30861,0.018105,0,0,0
0.7,4.9647,0.10868,0.0063256,-0.089836,0.27649,0.016235,4.892,0.33235,0.019498,0,0,0
0.75,4.9601,0.12281,0.0071556,-0.0938,0.28869,0.016955,4.8843,0.35609,0.02089,0,0,0
0.8,4.9553,0.13754,0.0080204,-0.097519,0.30014,0.01763,4.8766,0.37983,0.022283,0,0,0
0.85,4.9503,0.15281,0.0089179,-0.10101,0.31088,0.018264,4.8689,0.40357,0.023676,0,0,0
0.9,4.9452,0.16861,0.0098461,-0.10429,0.32096,0.018857,4.8612,0.42731,0.025068,0,0,0
0.95,4.9399,0.1849,0.010803,-0.10736,0.33043,0.019414,4.8534,0.45105,0.026461,0,0,0
1,4.9345,0.20165,0.011787,-0.11025,0.33931,0.019936,4.8457,0.47479,0.027854,0,0,0
1.05,4.9289,0.21882,0.012796,-0.11296,0.34764,0.020426,4.838,0.49853,0.029247,0,0,0
1.1,4.9232,0.2364,0.013829,-0.1155,0.35546,0.020885,4.8303,0.52227,0.030639,0,0,0
1.15,4.9174,0.25436,0.014884,-0.11788,0.36281,0.021316,4.8226,0.54601,0.032032,0,0,0
1.2,4.9114,0.27268,0.01596,-0.12012,0.36969,0.02172,4.8149,0.56975,0.033425,0,0,0
1.25,4.9053,0.29132,0.017056,-0.12222,0.37616,0.022099,4.8072,0.59349,0.034817,0,0,0
1.3,4.8992,0.31028,0.01817,-0.12419,0.38223,0.022455,4.7995,0.61723,0.03621,0,0,0
1.35,4.8929,0.32954,0.019301,-0.12604,0.38792,0.022788,4.7917,0.64097,0.037603,0,0,0
1.4,4.8866,0.34907,0.020448,-0.12778,0.39327,0.023101,4.784,0.66471,0.038995,0,0,0
1.45,4.8801,0.36886,0.021611,-0.12941,0.39828,0.023394,4.7763,0.68845,0.040388,0,0,0
1.5,4.8736,0.38889,0.022787,-0.13094,0.40299,0.023669,4.7686,0.71218,0.041781,0,0,0
1.55,4.8671,0.40916,0.023977,-0.13237,0.40741,0.023928,4.7609,0.73592,0.043173,0,0,0
1.6,4.8604,0.42963,0.02518,-0.13372,0.41155,0.02417,4.7532,0.75966,0.044566,0,0,0
1.65,4.8537,0.45031,0.026394,-0.13498,0.41544,0.024397,4.7455,0.7834,0.045959,0,0,0
1.7,4.8469,0.47117,0.027619,-0.13617,0.41909,0.02461,4.7377,0.80714,0.047351,0,0,0
1.75,4.8401,0.49221,0.028855,-0.13728,0.42252,0.02481,4.73,0.83088,0.048744,0,0,0
1.8,4.8332,0.51342,0.0301,-0.13833,0.42574,0.024998,4.7223,0.85462,0.050137,0,0,0
1.85,4.8262,0.53478,0.031354,-0.13931,0.42875,0.025174,4.7146,0.87836,0.05153,0,0,0
1.9,4.8192,0.55629,0.032617,-0.14023,0.43159,0.025339,4.7069,0.9021,0.052922,0,0,0
1.95,4.8122,0.57794,0.033888,-0.14109,0.43424,0.025494,4.6992,0.92584,0.054315,0,0,0
2,4.8051,0.59971,0.035167,-0.1419,0.43674,0.02564,4.6915,0.94958,0.055708,0,0,0
2.05,4.798,0.62161,0.036452,-0.14267,0.43908,0.025776,4.6837,0.97332,0.0571,0,0,0
2.1,4.7909,0.64362,0.037744,-0.14338,0.44128,0.025904,4.676,0.99706,0.058493,0,0,0
2.15,4.7837,0.66573,0.039042,-0.14405,0.44334,0.026024,4.6683,1.0208,0.059886,0,0,0
2.2,4.7765,0.68795,0.040346,-0.14468,0.44527,0.026137,4.6606,1.0445,0.061278,0,0,0
