t,x,y,z,xdot,ydot,zdot,des_x,des_y,des_z,des_xdot,des_ydot,des_zdot
0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,0.00015144,3.4726e-05,0.010867,0.005887,0.0023602,0.44966,0.0001562,4.2296e-05,0.017383,0.0058086,0.0024448,0.5992
0.1,0.00052515,0.0002868,0.041502,0.0086492,0.0077441,0.64534,0.00053691,0.00031977,0.050308,0.0089761,0.0094027,0.62251
0.15,0.00097354,0.00087454,0.069605,0.0084913,0.016759,0.49273,0.00097646,0.0010196,0.076959,0.00758,0.01867,0.46922
0.2,0.0012475,0.0019894,0.093121,0.0012115,0.027678,0.47311,0.0011923,0.0021947,0.099798,3.1546e-05,0.028392,0.46922
0.25,0.0010114,0.0035821,0.11788,-0.011389,0.034999,0.51243,0.0008863,0.0038037,0.12439,-0.01315,0.035047,0.50771
0.3,2.3799e-05,0.0053979,0.14371,-0.028964,0.036747,0.51442,-0.00021048,0.0056073,0.14988,-0.03155,0.036139,0.50522
0.35,-0.0019397,0.0071358,0.1691,-0.049529,0.031126,0.50222,-0.0022926,0.0072808,0.17482,-0.051675,0.029223,0.49401
0.4,-0.0049184,0.0083465,0.1941,-0.069542,0.015714,0.4996,-0.0053716,0.0083718,0.19946,-0.071321,0.012856,0.49314
0.45,-0.0088185,0.0085618,0.2191,-0.084985,-0.0084348,0.49977,-0.0093248,0.0084244,0.22414,-0.085444,-0.012107,0.49353
0.5,-0.013275,0.0073676,0.24402,-0.091921,-0.040682,0.49663,-0.013779,0.0070258,0.24875,-0.091281,-0.045075,0.49045
0.55,-0.017825,0.0044209,0.26874,-0.087712,-0.077238,0.49202,-0.018249,0.003871,0.27317,-0.085253,-0.081259,0.48623
0.6,-0.021815,-0.0003664,0.29322,-0.069602,-0.11438,0.4873,-0.022078,-0.0011142,0.29737,-0.065632,-0.11813,0.48197
0.65,-0.024567,-0.0069419,0.31746,-0.038408,-0.14695,0.48203,-0.024599,-0.0078318,0.32135,-0.033138,-0.14904,0.47697
0.7,-0.025447,-0.0149,0.34141,0.0053241,-0.16985,0.47565,-0.025183,-0.015863,0.34505,0.011777,-0.17061,0.4709
0.75,-0.023891,-0.023714,0.36501,0.057514,-0.17985,0.46844,-0.02331,-0.024654,0.36843,0.063864,-0.17827,0.46395
0.8,-0.019631,-0.032603,0.38824,0.1136,-0.17294,0.46039,-0.018727,-0.033414,0.39143,0.12011,-0.16937,0.45622
0.85,-0.012528,-0.040731,0.41104,0.16925,-0.14946,0.4517,-0.011341,-0.041318,0.41404,0.17411,-0.14404,0.44776
0.9,-0.0028422,-0.047275,0.43339,0.21696,-0.10956,0.44232,-0.0014411,-0.047546,0.4362,0.22062,-0.10238,0.43864
0.95,0.0090178,-0.051436,0.45526,0.25504,-0.055176,0.43239,0.01055,-0.051328,0.45789,0.25638,-0.047434,0.42897
1,0.022382,-0.052661,0.47663,0.27684,0.0075459,0.42214,0.023929,-0.052151,0.47909,0.2761,0.015888,0.41892
1.05,0.036431,-0.050548,0.49747,0.28233,0.077706,0.41147,0.037889,-0.049619,0.49978,0.2795,0.085591,0.40854
1.1,0.050326,-0.044933,0.51778,0.27054,0.14626,0.40086,0.051591,-0.043636,0.51994,0.26569,0.15322,0.39805
1.15,0.063194,-0.035974,0.53755,0.2413,0.2116,0.39,0.06417,-0.034349,0.53958,0.23464,0.21766,0.38748
1.2,0.074213,-0.023896,0.55678,0.19763,0.26941,0.37937,0.074836,-0.022024,0.55869,0.19013,0.27333,0.37697
1.25,0.082772,-0.0092396,0.57549,0.1428,0.31485,0.36885,0.082994,-0.0072145,0.57728,0.1343,0.31706,0.36661
1.3,0.088308,0.0073876,0.59367,0.077232,0.34808,0.35842,0.08809,0.0094789,0.59535,0.068587,0.34841,0.35643
1.35,0.09045,0.025324,0.61134,0.0082196,0.36684,0.34846,0.089811,0.027381,0.61293,-8.8968e-05,0.36523,0.34652
1.4,0.089095,0.043823,0.62852,-0.062766,0.37066,0.33868,0.088047,0.045755,0.63001,-0.070817,0.36725,0.33691
1.45,0.084153,0.062146,0.64521,-0.13444,0.36007,0.32921,0.082724,0.063871,0.64662,-0.14132,0.35532,0.32761
1.5,0.075756,0.079633,0.66145,-0.2004,0.33743,0.32022,0.074014,0.08109,0.66278,-0.2061,0.33147,0.31866
1.55,0.064213,0.09569,0.67724,-0.26034,0.30287,0.31148,0.062213,0.096821,0.6785,-0.26492,0.29579,0.31006
1.6,0.049829,0.10973,0.6926,-0.31365,0.2573,0.30309,0.047633,0.11049,0.69379,-0.31674,0.24984,0.30181
1.65,0.033019,0.12133,0.70755,-0.35703,0.20567,0.29516,0.030706,0.12171,0.70868,-0.35867,0.19796,0.29391
1.7,0.014294,0.1302,0.72212,-0.39028,0.14834,0.2875,0.011934,0.13019,0.72319,-0.39055,0.14042,0.28635
1.75,-0.0058401,0.13607,0.73631,-0.41339,0.085494,0.28014,-0.008182,0.13566,0.73732,-0.4124,0.077699,0.27913
1.8,-0.026878,0.13874,0.75014,-0.42647,0.021591,0.27322,-0.029141,0.13796,0.75111,-0.42431,0.014475,0.27222
1.85,-0.048321,0.13824,0.76363,-0.42957,-0.041524,0.26657,-0.050448,0.13712,0.76455,-0.42631,-0.048124,0.26562
1.9,-0.069669,0.1346,0.7768,-0.42269,-0.10399,0.26018,-0.071606,0.13316,0.77767,-0.4184,-0.1101,0.25932
1.95,-0.09043,0.12786,0.78966,-0.40641,-0.16497,0.25409,-0.092134,0.12614,0.79049,-0.40151,-0.17011,0.25331
