t,x,y,z,xdot,ydot,zdot,qw,qx,qy,qz,p,q,r
0,0,0,0,0,0,0,1,0,-0,-0,0,0,0
0.01,1.3405e-06,1.2442e-06,2.189e-07,0.00054002,0.00050201,0.0004045,0.99994,0.0075803,-0.0080487,5.2222e-05,-2.9159,2.8008,-0.044932
0.02,1.9172e-05,1.841e-05,2.5158e-05,0.0033812,0.003303,0.0044959,0.99966,0.018523,-0.018488,0.00034088,-1.3922,1.326,-0.053774
0.03,7.3503e-05,7.2062e-05,8.8953e-05,0.0075943,0.0075422,0.0082272,0.99952,0.021997,-0.021792,0.00048564,-0.10965,0.10355,-0.0053726
0.04,0.00017152,0.00016974,0.00018928,0.01197,0.011953,0.011826,0.99957,0.02088,-0.020718,0.00043795,0.43904,-0.42116,0.018887
0.05,0.00031155,0.00030972,0.0003253,0.015957,0.015961,0.015371,0.99966,0.018519,-0.018451,0.00034337,0.44395,-0.42789,0.017022
0.06,0.00048924,0.00048747,0.00049653,0.019523,0.019531,0.018864,0.99972,0.016771,-0.016763,0.00028063,0.24545,-0.23775,0.0084665
0.07,0.00070119,0.00069949,0.0007024,0.022842,0.022847,0.022301,0.99974,0.016017,-0.016029,0.00025576,0.070015,-0.069216,0.0022319
0.08,0.00094582,0.00094415,0.00094235,0.02608,0.026082,0.02568,0.99975,0.015907,-0.015914,0.00025248,-0.010034,0.0081839,-0.00041212
0.09,0.0012228,0.0012211,0.0012158,0.029319,0.029318,0.029007,0.99974,0.015992,-0.015989,0.00025549,-0.015222,0.013454,-0.00056646
0.1,0.0015322,0.0015306,0.0015223,0.032567,0.032566,0.032288,0.99974,0.01601,-0.016001,0.00025626,0.0097275,-0.010524,0.00027446
0.11,0.0018741,0.0018724,0.0018614,0.035804,0.035803,0.035526,0.99975,0.015898,-0.015887,0.00025275,0.033291,-0.033314,0.0010552
0.12,0.0022482,0.0022465,0.0022327,0.039007,0.039007,0.038723,0.99975,0.015698,-0.015688,0.00024643,0.044463,-0.044194,0.0014065
0.13,0.0026541,0.0026524,0.0026358,0.042164,0.042164,0.041881,0.99976,0.015471,-0.015462,0.0002393,0.045293,-0.045047,0.0014117
0.14,0.0030913,0.0030896,0.0030702,0.045275,0.045275,0.044999,0.99977,0.015253,-0.015245,0.00023258,0.041658,-0.041491,0.0012758
0.15,0.0035594,0.0035578,0.0035356,0.048342,0.048343,0.048078,0.99977,0.015054,-0.015047,0.00022655,0.037946,-0.03791,0.0011431
0.16,0.004058,0.0040564,0.0040316,0.05137,0.05137,0.051118,0.99978,0.01487,-0.014864,0.00022106,0.035826,-0.035791,0.0010642
0.17,0.0045867,0.004585,0.0045578,0.05436,0.054361,0.054119,0.99978,0.014693,-0.014687,0.00021584,0.03513,-0.035115,0.001031
0.18,0.0051451,0.0051434,0.0051139,0.057314,0.057314,0.057082,0.99979,0.014518,-0.014512,0.00021072,0.035097,-0.035068,0.0010183
0.19,0.0057329,0.0057312,0.0056994,0.06023,0.060231,0.060008,0.99979,0.014342,-0.014336,0.00020565,0.035118,-0.035063,0.0010072
0.2,0.0063496,0.0063479,0.0063139,0.063111,0.063111,0.062896,0.9998,0.014167,-0.014161,0.00020066,0.034944,-0.034933,0.00099023
0.21,0.0069949,0.0069933,0.0069572,0.065954,0.065955,0.065749,0.9998,0.013993,-0.013988,0.00019577,0.03458,-0.034556,0.00096793
0.22,0.0076686,0.0076669,0.0076288,0.068762,0.068763,0.068565,0.99981,0.013821,-0.013816,0.00019099,0.034125,-0.03409,0.0009434
0.23,0.0083701,0.0083684,0.0083283,0.071535,0.071536,0.071345,0.99981,0.013652,-0.013647,0.00018634,0.033662,-0.033652,0.00091911
0.24,0.0090991,0.0090975,0.0090555,0.074272,0.074273,0.074091,0.99982,0.013485,-0.01348,0.0001818,0.033228,-0.033214,0.00089612
0.25,0.0098554,0.0098538,0.00981,0.076976,0.076976,0.076802,0.99982,0.01332,-0.013315,0.00017738,0.032825,-0.032802,0.0008744
0.26,0.010639,0.010637,0.010591,0.079645,0.079645,0.079478,0.99983,0.013156,-0.013152,0.00017306,0.032441,-0.032419,0.00085357
0.27,0.011448,0.011447,0.011399,0.08228,0.082281,0.082121,0.99983,0.012995,-0.012991,0.00016884,0.032063,-0.032035,0.0008333
0.28,0.012284,0.012282,0.012234,0.084882,0.084883,0.08473,0.99984,0.012836,-0.012831,0.00016473,0.031686,-0.031663,0.00081342
0.29,0.013146,0.013144,0.013094,0.087452,0.087453,0.087306,0.99984,0.012678,-0.012674,0.00016071,0.03131,-0.031285,0.00079391
0.3,0.014033,0.014031,0.01398,0.089989,0.08999,0.08985,0.99984,0.012523,-0.012519,0.00015679,0.030936,-0.030924,0.0007748
0.31,0.014945,0.014944,0.014891,0.092494,0.092495,0.092361,0.99985,0.012369,-0.012365,0.00015296,0.030566,-0.030536,0.00075613
0.32,0.015883,0.015881,0.015827,0.094967,0.094968,0.094841,0.99985,0.012217,-0.012213,0.00014923,0.030201,-0.030177,0.00073791
0.33,0.016845,0.016843,0.016788,0.09741,0.097411,0.097289,0.99985,0.012067,-0.012063,0.00014559,0.02984,-0.029823,0.00072014
0.34,0.017831,0.017829,0.017773,0.099821,0.099823,0.099707,0.99986,0.011919,-0.011915,0.00014203,0.029483,-0.029455,0.00070278
0.35,0.018841,0.018839,0.018782,0.1022,0.1022,0.10209,0.99986,0.011772,-0.011769,0.00013856,0.029131,-0.029115,0.00068584
0.36,0.019875,0.019873,0.019814,0.10455,0.10456,0.10445,0.99986,0.011627,-0.011624,0.00013517,0.028782,-0.028769,0.0006693
0.37,0.020932,0.02093,0.02087,0.10688,0.10688,0.10678,0.99987,0.011484,-0.011481,0.00013187,0.028437,-0.028449,0.00065315
0.38,0.022012,0.022011,0.02195,0.10917,0.10917,0.10907,0.99987,0.011343,-0.01134,0.00012864,0.028096,-0.028085,0.00063738
0.39,0.023115,0.023114,0.023052,0.11143,0.11143,0.11134,0.99987,0.011203,-0.0112,0.0001255,0.027759,-0.027742,0.00062198
0.4,0.024241,0.024239,0.024177,0.11367,0.11367,0.11358,0.99988,0.011065,-0.011063,0.00012242,0.027426,-0.027413,0.00060695
0.41,0.025388,0.025387,0.025323,0.11587,0.11587,0.11579,0.99988,0.010929,-0.010926,0.00011943,0.027097,-0.027089,0.00059227
0.42,0.026558,0.026557,0.026492,0.11805,0.11805,0.11798,0.99988,0.010794,-0.010792,0.0001165,0.026771,-0.026777,0.00057794
0.43,0.027749,0.027748,0.027683,0.1202,0.1202,0.12013,0.99989,0.010661,-0.010659,0.00011365,0.026449,-0.026439,0.00056396
0.44,0.028962,0.028961,0.028895,0.12233,0.12233,0.12226,0.99989,0.01053,-0.010528,0.00011086,0.026131,-0.026118,0.0005503
0.45,0.030196,0.030194,0.030128,0.12443,0.12443,0.12436,0.99989,0.0104,-0.010398,0.00010815,0.025816,-0.025806,0.00053697
0.46,0.031451,0.031449,0.031382,0.1265,0.1265,0.12644,0.99989,0.010272,-0.01027,0.0001055,0.025505,-0.025477,0.00052396
0.47,0.032726,0.032724,0.032657,0.12854,0.12854,0.12849,0.9999,0.010145,-0.010143,0.00010291,0.025198,-0.025193,0.00051125
0.48,0.034021,0.03402,0.033952,0.13056,0.13056,0.13051,0.9999,0.01002,-0.010018,0.00010038,0.024894,-0.024886,0.00049885
0.49,0.035337,0.035336,0.035267,0.13256,0.13256,0.13251,0.9999,0.0098961,-0.0098941,9.792e-05,0.024593,-0.024586,0.00048674
0.5,0.036672,0.036671,0.036602,0.13452,0.13453,0.13448,0.9999,0.0097738,-0.009772,9.5516e-05,0.024296,-0.0243,0.00047492
0.51,0.038027,0.038026,0.037956,0.13647,0.13647,0.13643,0.99991,0.0096531,-0.0096513,9.3171e-05,0.024003,-0.024001,0.00046339
0.52,0.039402,0.0394,0.03933,0.13839,0.13839,0.13835,0.99991,0.0095338,-0.0095321,9.0883e-05,0.023712,-0.023703,0.00045213
0.53,0.040795,0.040794,0.040723,0.14028,0.14028,0.14025,0.99991,0.009416,-0.0094143,8.865e-05,0.023426,-0.023409,0.00044114
0.54,0.042207,0.042206,0.042135,0.14215,0.14216,0.14212,0.99991,0.0092995,-0.0092979,8.6472e-05,0.023142,-0.023146,0.00043041
0.55,0.043638,0.043637,0.043566,0.144,0.144,0.14398,0.99992,0.0091845,-0.009183,8.4347e-05,0.022862,-0.022855,0.00041994
0.56,0.045087,0.045086,0.045015,0.14583,0.14583,0.1458,0.99992,0.0090709,-0.0090694,8.2273e-05,0.022585,-0.022563,0.00040972
0.57,0.046554,0.046553,0.046482,0.14763,0.14763,0.14761,0.99992,0.0089587,-0.0089573,8.025e-05,0.022311,-0.022309,0.00039975
0.58,0.04804,0.048038,0.047967,0.14941,0.14941,0.14939,0.99992,0.0088478,-0.0088464,7.8276e-05,0.02204,-0.022035,0.00039001
0.59,0.049542,0.049541,0.04947,0.15116,0.15116,0.15115,0.99992,0.0087383,-0.008737,7.635e-05,0.021773,-0.02177,0.00038051
0.6,0.051063,0.051062,0.05099,0.1529,0.1529,0.15288,0.99993,0.0086301,-0.0086288,7.4471e-05,0.021509,-0.021512,0.00037123
0.61,0.0526,0.052599,0.052527,0.15461,0.15461,0.1546,0.99993,0.0085232,-0.008522,7.2638e-05,0.021247,-0.021243,0.00036218
0.62,0.054155,0.054154,0.054082,0.1563,0.1563,0.15629,0.99993,0.0084176,-0.0084164,7.0849e-05,0.020989,-0.020979,0.00035335
0.63,0.055726,0.055725,0.055653,0.15797,0.15797,0.15796,0.99993,0.0083133,-0.0083122,6.9104e-05,0.020734,-0.020732,0.00034473
0.64,0.057314,0.057313,0.057241,0.15962,0.15962,0.15961,0.99993,0.0082103,-0.0082092,6.7402e-05,0.020482,-0.020482,0.00033631
0.65,0.058919,0.058917,0.058845,0.16125,0.16125,0.16124,0.99993,0.0081085,-0.0081074,6.5741e-05,0.020232,-0.020227,0.0003281
0.66,0.060539,0.060538,0.060466,0.16285,0.16285,0.16285,0.99994,0.0080079,-0.0080069,6.4121e-05,0.019986,-0.019977,0.00032009
0.67,0.062176,0.062174,0.062102,0.16444,0.16444,0.16444,0.99994,0.0079086,-0.0079076,6.2541e-05,0.019742,-0.019743,0.00031226
0.68,0.063828,0.063827,0.063754,0.16601,0.16601,0.16601,0.99994,0.0078105,-0.0078096,6.0999e-05,0.019502,-0.019495,0.00030463
0.69,0.065496,0.065495,0.065422,0.16755,0.16756,0.16756,0.99994,0.0077136,-0.0077127,5.9495e-05,0.019264,-0.019257,0.00029718
0.7,0.067179,0.067178,0.067106,0.16908,0.16908,0.16909,0.99994,0.0076179,-0.007617,5.8027e-05,0.019029,-0.019027,0.00028991
0.71,0.068877,0.068876,0.068804,0.17059,0.17059,0.1706,0.99994,0.0075233,-0.0075225,5.6595e-05,0.018797,-0.018779,0.00028282
0.72,0.070591,0.070589,0.070517,0.17208,0.17208,0.17209,0.99994,0.0074299,-0.0074291,5.5199e-05,0.018567,-0.018564,0.0002759
0.73,0.072319,0.072318,0.072246,0.17355,0.17355,0.17356,0.99995,0.0073376,-0.0073369,5.3837e-05,0.01834,-0.018337,0.00026915
0.74,0.074062,0.07406,0.073989,0.175,0.175,0.17502,0.99995,0.0072465,-0.0072457,5.2507e-05,0.018116,-0.018112,0.00026255
0.75,0.075819,0.075818,0.075746,0.17644,0.17644,0.17645,0.99995,0.0071564,-0.0071558,5.1211e-05,0.017895,-0.017893,0.00025612
0.76,0.07759,0.077589,0.077518,0.17785,0.17785,0.17787,0.99995,0.0070675,-0.0070669,4.9946e-05,0.017676,-0.01766,0.00024985
0.77,0.079376,0.079375,0.079303,0.17925,0.17925,0.17927,0.99995,0.0069797,-0.006979,4.8713e-05,0.01746,-0.017452,0.00024372
0.78,0.081175,0.081174,0.081103,0.18063,0.18063,0.18065,0.99995,0.0068929,-0.0068923,4.7509e-05,0.017246,-0.017243,0.00023775
0.79,0.082988,0.082987,0.082916,0.18199,0.18199,0.18201,0.99995,0.0068072,-0.0068066,4.6335e-05,0.017035,-0.017031,0.00023192
0.8,0.084815,0.084814,0.084743,0.18334,0.18334,0.18336,0.99995,0.0067226,-0.006722,4.519e-05,0.016826,-0.016825,0.00022623
0.81,0.086655,0.086654,0.086583,0.18467,0.18467,0.18469,0.99996,0.006639,-0.0066384,4.4073e-05,0.01662,-0.016605,0.00022068
0.82,0.088508,0.088507,0.088437,0.18598,0.18598,0.186,0.99996,0.0065564,-0.0065558,4.2983e-05,0.016416,-0.016415,0.00021526
0.83,0.090374,0.090373,0.090303,0.18727,0.18727,0.1873,0.99996,0.0064748,-0.0064743,4.192e-05,0.016215,-0.016213,0.00020997
