t,x,y,z,xdot,ydot,zdot,qw,qx,qy,qz,p,q,r
0,5,0,0,0,0,0,1,0,-0,-0,0,0,0
0.01,5,1.1924e-06,2.0733e-07,-0.00018851,0.00048195,6.2146e-05,0.99997,0.0074314,0.0026702,-2.0133e-05,-2.9339,-0.87736,0.014832
0.02,5,1.8231e-05,1.9531e-06,-0.0011573,0.0034069,0.00028728,0.99973,0.021928,0.0070873,-0.00015302,-2.527,-0.78357,0.035914
0.03,5,7.7476e-05,5.9052e-06,-0.0028731,0.0087442,0.00050245,0.99947,0.031107,0.0099714,-0.00031015,-1.1219,-0.36116,0.022963
0.04,4.9999,0.00019687,1.2077e-05,-0.0049542,0.01522,0.00073971,0.99937,0.033711,0.010845,-0.00036748,-0.022862,-0.019053,0.00061343
0.05,4.9999,0.00038207,2.0886e-05,-0.007072,0.021776,0.0010312,0.99942,0.032436,0.010492,-0.00034183,0.43281,0.12974,-0.009273
0.06,4.9998,0.00063105,3.2848e-05,-0.0090741,0.027946,0.0013661,0.9995,0.030154,0.0097922,-0.00029579,0.42912,0.13442,-0.008569
0.07,4.9997,0.00093959,4.826e-05,-0.010948,0.033706,0.0017171,0.99955,0.028422,0.0092424,-0.00026264,0.2557,0.082733,-0.0047859
0.08,4.9996,0.0013043,6.7178e-05,-0.01274,0.039211,0.0020652,0.99958,0.027557,0.0089578,-0.00024668,0.10213,0.034599,-0.0018256
0.09,4.9994,0.0017235,8.9529e-05,-0.014495,0.044607,0.0024032,0.99959,0.027262,0.0088546,-0.0002413,0.029414,0.010889,-0.00049744
0.1,4.9993,0.0021964,0.00011521,-0.016237,0.049969,0.0027315,0.99959,0.027154,0.0088148,-0.00023938,0.021343,0.0075199,-0.00035648
0.11,4.9991,0.0027228,0.00014413,-0.017971,0.055307,0.0030527,0.9996,0.027004,0.0087645,-0.00023677,0.040784,0.013238,-0.00070576
0.12,4.9989,0.0033024,0.00017625,-0.019692,0.060605,0.0033694,0.9996,0.026747,0.0086819,-0.00023233,0.060697,0.019479,-0.0010533
0.13,4.9987,0.0039347,0.00021151,-0.021394,0.065843,0.0036825,0.99961,0.026414,0.008575,-0.00022661,0.070805,0.022791,-0.0012172
0.14,4.9985,0.004619,0.00024989,-0.023073,0.071012,0.0039922,0.99962,0.026054,0.0084591,-0.00022048,0.072007,0.023275,-0.0012212
0.15,4.9983,0.0053547,0.00029134,-0.024729,0.07611,0.0042983,0.99963,0.025701,0.0083448,-0.00021455,0.068927,0.022364,-0.0011521
0.16,4.998,0.006141,0.00033584,-0.026364,0.08114,0.0046005,0.99964,0.025366,0.008236,-0.00020898,0.065349,0.021215,-0.0010771
0.17,4.9977,0.0069772,0.00038334,-0.027977,0.086105,0.0048987,0.99965,0.025046,0.0081321,-0.00020374,0.062923,0.020441,-0.0010236
0.18,4.9974,0.0078629,0.0004338,-0.02957,0.091008,0.0051929,0.99966,0.024735,0.0080311,-0.00019871,0.061715,0.020037,-0.00099136
0.19,4.9971,0.0087972,0.00048719,-0.031143,0.095849,0.0054833,0.99967,0.024428,0.0079316,-0.00019381,0.061166,0.019846,-0.00097048
0.2,4.9968,0.0097796,0.00054345,-0.032696,0.10063,0.0057698,0.99968,0.024123,0.0078328,-0.00018901,0.060758,0.019713,-0.00095212
0.21,4.9965,0.01081,0.00060257,-0.03423,0.10535,0.0060527,0.99969,0.02382,0.0077347,-0.0001843,0.060234,0.019528,-0.00093215
0.22,4.9961,0.011886,0.0006645,-0.035745,0.11001,0.0063319,0.99969,0.023521,0.0076376,-0.0001797,0.059559,0.019327,-0.00091013
0.23,4.9958,0.01301,0.0007292,-0.03724,0.11462,0.0066074,0.9997,0.023225,0.0075417,-0.00017521,0.058797,0.01908,-0.00088718
0.24,4.9954,0.014179,0.00079663,-0.038717,0.11916,0.0068794,0.99971,0.022933,0.007447,-0.00017083,0.058018,0.018828,-0.00086441
0.25,4.995,0.015393,0.00086677,-0.040175,0.12365,0.0071479,0.99972,0.022645,0.0073535,-0.00016657,0.057261,0.018586,-0.00084241
0.26,4.9946,0.016651,0.00093958,-0.041614,0.12808,0.0074129,0.99972,0.022361,0.0072613,-0.00016241,0.056533,0.018335,-0.00082126
0.27,4.9942,0.017954,0.001015,-0.043036,0.13245,0.0076744,0.99973,0.02208,0.0071702,-0.00015836,0.055828,0.018114,-0.00080084
0.28,4.9937,0.0193,0.0010931,-0.044439,0.13677,0.0079326,0.99974,0.021803,0.0070802,-0.00015441,0.055136,0.017896,-0.00078098
