t,x,y,z,xd,yd,zd,qw,qx,qy,qz,p,q,r
0,0,0,0,0,0,0,1,0,-0,-0,0,0,0
0.01,1.9562e-08,1.9456e-08,9.1243e-08,8.0705e-06,8.0396e-06,2.849e-05,1,0.00012708,-0.00012735,-1.0001e-07,-0.05235,0.052364,3.6956e-05
0.02,3.302e-07,3.2953e-07,8.0708e-07,6.6285e-05,6.6207e-05,0.00012769,1,0.00049846,-0.00049862,-4.0943e-07,-0.092078,0.092021,9.0181e-05
0.03,1.6427e-06,1.6412e-06,2.9187e-06,0.0002129,0.00021281,0.00030877,1,0.0010054,-0.0010053,-1.0857e-06,-0.10687,0.10682,0.00019358
0.04,4.9361e-06,4.9339e-06,7.2699e-06,0.00046333,0.00046328,0.00057599,1,0.0015386,-0.0015384,-2.5327e-06,-0.10453,0.10452,0.00040592
0.05,1.1252e-05,1.125e-05,1.473e-05,0.00081643,0.00081642,0.00093054,1,0.0020411,-0.002041,-5.3596e-06,-0.096214,0.09624,0.00074458
0.06,2.1582e-05,2.158e-05,2.6171e-05,0.0012648,0.0012648,0.0013723,0.99999,0.0025027,-0.0025027,-1.0153e-05,-0.088885,0.088913,0.0011884
0.07,3.6842e-05,3.684e-05,4.2463e-05,0.0018015,0.0018015,0.0019003,0.99999,0.0029354,-0.0029356,-1.7385e-05,-0.084708,0.084725,0.0017167
0.08,5.7893e-05,5.7891e-05,6.4462e-05,0.0024225,0.0024225,0.0025137,0.99999,0.0033539,-0.0033542,-2.745e-05,-0.082966,0.082973,0.0023215
0.09,8.5568e-05,8.5565e-05,9.3016e-05,0.0031262,0.0031261,0.003211,0.99999,0.0037668,-0.0037673,-4.0734e-05,-0.082232,0.082236,0.0030049
0.1,0.00012069,0.00012069,0.00012896,0.0039118,0.0039117,0.0039909,0.99998,0.0041762,-0.0041769,-5.7642e-05,-0.081515,0.081537,0.0037721
0.11,0.00016407,0.00016407,0.00017311,0.0047786,0.0047785,0.0048522,0.99998,0.0045811,-0.004582,-7.8596e-05,-0.080398,0.080421,0.0046239
0.12,0.00021653,0.00021653,0.00022627,0.0057259,0.0057257,0.0057935,0.99998,0.0049796,-0.0049808,-0.00010402,-0.078972,0.079008,0.0055609
0.13,0.00027886,0.00027885,0.00028924,0.0067521,0.0067519,0.0068135,0.99997,0.0053704,-0.0053721,-0.00013434,-0.077403,0.077449,0.0065802
